Condition Name,Target Distribution,Trial target,Target size,Item expertise,Predicted Time
Condition One,A,F,1.0,0.2,2
Condition One,A,C,1.0,0.2,2
Condition One,A,B,1.0,0.2,2
Condition One,A,E,1.0,0.2,3
Condition One,A,H,1.0,0.2,3
Condition One,A,B,1.0,0.2,1
Condition One,A,J,1.0,0.2,3
Condition One,A,F,1.0,0.4,2
Condition One,A,I,1.0,0.2,3
Condition One,A,C,1.0,0.4,2
Condition One,A,E,1.0,0.4,3
Condition One,A,I,1.0,0.2,1
Condition One,A,E,1.0,0.4,1
Condition One,A,C,1.0,0.6,3
Condition One,A,A,1.0,0.2,2
Condition One,A,C,1.0,0.6,1
Condition One,A,H,1.0,0.4,3
Condition One,A,I,1.0,0.4,4
Condition One,A,F,1.0,0.6,3
Condition One,A,H,1.0,0.4,1
Condition One,A,F,1.0,0.6,1
Condition One,A,C,1.0,0.8,3
Condition One,A,E,1.0,0.6,4
Condition One,A,J,1.0,0.4,3
Condition One,A,G,1.0,0.2,2
Condition One,A,G,1.0,0.2,0
Condition One,A,C,1.0,1.0,4
Condition One,A,C,1.0,1.0,0
Condition One,A,I,1.0,0.6,4
Condition One,A,I,1.0,0.6,0
Condition One,A,A,1.0,0.4,2
Condition One,A,G,1.0,0.4,5
Condition One,A,C,1.0,1.0,5
Condition One,A,B,1.0,0.4,2
Condition One,A,B,1.0,0.4,0
Condition One,A,A,1.0,0.6,2
Condition One,A,J,1.0,0.6,5
Condition One,A,C,1.0,1.0,2
Condition One,A,A,1.0,0.6,1
Condition One,A,E,1.0,0.8,5
Condition One,A,G,1.0,0.6,6
Condition One,A,J,1.0,0.8,7
Condition One,A,H,1.0,0.6,5
Condition One,A,H,1.0,0.6,0
Condition One,A,E,1.0,1.0,7
Condition One,A,F,1.0,0.8,4
Condition One,A,I,1.0,0.8,6
Condition One,A,B,1.0,0.6,2
Condition One,A,B,1.0,0.6,0
Condition One,A,D,1.0,0.2,2
